invoice_id,customer_name,invoice_date,due_date,amount,status
INV-1001,Acme Retail,2026-01-05,2026-02-04,2400,Paid
INV-1002, blue sky cafe ,01/18/2026,02/17/2026,1800,paid
INV-1003,Northwind Studio,2026/02/03,2026/03/05,3200,Unpaid
INV-1004,ACME retail,2026-02-15,2026-03-17,1500,Paid
,Green Garden Co,03-01-2026,03-31-2026,950,Unpaid
INV-1006,Blue Sky Cafe,2026-03-12,2026-04-11,-300,Unpaid
INV-1007,Summit Events,2026-04-02,2026-05-02,4100,Paid
INV-1008,northwind studio ,2026-04-20,2026-05-20,2750,Unpaid
INV-1009,Green Garden Co,2026-05-01,2026-05-31,1200,Overdue
INV-1010,Bright Books,05/16/2026,06/15/2026,2200,Unpaid
INV-1011,Acme Retail,2026-05-22,2026-06-21,1750,Paid
INV-1012,Summit Events,2026-06-01,2026-07-01,3650,Unpaid
INV-1007,Summit Events,2026-04-02,2026-05-02,4100,Paid
